INFO 2022-11-20 18:02:53,905 User: Михаил Зубенко - Учитель, path: /, Lead time: 0.07432866096496582
INFO 2022-11-20 18:02:55,226 User: Михаил Зубенко - Учитель, path: /course/1/, Lead time: 0.07140517234802246
INFO 2022-11-20 18:02:56,026 User: Михаил Зубенко - Учитель, path: /test/2/, Lead time: 0.05500984191894531
INFO 2022-11-20 18:02:57,179 User: Михаил Зубенко - Учитель, path: /test/2/, Lead time: 0.05695390701293945
INFO 2022-11-20 18:02:58,651 User: Михаил Зубенко - Учитель, path: /, Lead time: 0.06307721138000488
INFO 2022-11-20 18:03:00,078 User: Михаил Зубенко - Учитель, path: /course/3/, Lead time: 0.06304240226745605
INFO 2022-11-20 18:03:00,804 User: Михаил Зубенко - Учитель, path: /test/1/, Lead time: 0.057225942611694336
INFO 2022-11-20 18:03:02,107 User: Михаил Зубенко - Учитель, path: /, Lead time: 0.06203031539916992
INFO 2022-11-20 18:03:02,820 User: Михаил Зубенко - Учитель, path: /course/3/, Lead time: 0.06390643119812012
INFO 2022-11-20 18:03:04,035 User: Михаил Зубенко - Учитель, path: /test/3/, Lead time: 0.05742788314819336
INFO 2022-11-20 18:03:05,841 User: Михаил Зубенко - Учитель, path: /, Lead time: 0.061621665954589844
INFO 2022-11-20 18:03:07,430 User: Михаил Зубенко - Учитель, path: /teacher/, Lead time: 0.060323476791381836
INFO 2022-11-20 18:03:08,225 User: Михаил Зубенко - Учитель, path: /teacher/courseedit/1/, Lead time: 0.17376971244812012
INFO 2022-11-20 18:03:08,848 User: Михаил Зубенко - Учитель, path: /teacher/testedit/4/, Lead time: 0.06599926948547363
INFO 2022-11-20 18:03:09,935 User: Михаил Зубенко - Учитель, path: /teacher/testedit/4/, Lead time: 0.06500053405761719
INFO 2022-11-20 18:03:13,499 User: Михаил Зубенко - Учитель, path: /teacher/testedit/1/, Lead time: 0.07799625396728516
INFO 2022-11-20 18:03:14,445 User: Михаил Зубенко - Учитель, path: /teacher/questionedit/1/, Lead time: 0.06454849243164062
INFO 2022-11-20 18:03:18,563 User: Михаил Зубенко - Учитель, path: /teacher/questionedit/1/, Lead time: 0.06521916389465332
INFO 2022-11-20 18:03:18,634 User: Михаил Зубенко - Учитель, path: /teacher/questionedit/1/, Lead time: 0.06858301162719727
INFO 2022-11-20 18:03:20,041 User: Михаил Зубенко - Учитель, path: /, Lead time: 0.05998563766479492
INFO 2022-11-20 18:03:21,232 User: Михаил Зубенко - Учитель, path: /course/1/, Lead time: 0.1699378490447998
INFO 2022-11-20 18:03:21,822 User: Михаил Зубенко - Учитель, path: /test/1/, Lead time: 0.0578160285949707
INFO 2022-11-20 18:03:23,148 User: Михаил Зубенко - Учитель, path: /, Lead time: 0.06300878524780273
INFO 2022-11-20 18:03:23,641 User: Михаил Зубенко - Учитель, path: /teacher/, Lead time: 0.05897665023803711
INFO 2022-11-20 18:03:24,550 User: Михаил Зубенко - Учитель, path: /teacher/courseedit/1/, Lead time: 0.07673263549804688
INFO 2022-11-20 18:03:25,258 User: Михаил Зубенко - Учитель, path: /teacher/testedit/1/, Lead time: 0.07444071769714355
